rank,category,sentiment score
29,grocery,0.6722674130999999
29,homeneeds,0.8183794587
29,pc,0.6680985809
29,petsupplies,0.5658425
29,toys,0.7718298763999999
30,electronics,0.5079308539999999
30,fashion,0.6932569652
30,grocery,0.866164863
30,homeneeds,0.8471430631000001
30,pc,0.5
30,petsupplies,0.6700587899999999
30,toys,0.7427823440000001
31,electronics,0.734533529875
31,fashion,0.9522532345
31,grocery,0.9500572018888889
31,homeneeds,0.9346828281999999
31,pc,0.6017583904999999
31,petsupplies,0.874388722
31,toys,0.7325945943000001
32,electronics,0.3378108858
32,fashion,0.9319093644
32,grocery,0.9563099681999999
32,homeneeds,0.6229359477
32,pc,0.9367393375
32,petsupplies,0.874388722
32,toys,0.839886847
33,electronics,0.6264181165999999
33,fashion,0.7986317753
33,grocery,0.854918793
33,homeneeds,0.7274435709999999
33,pc,0.5146212186
33,petsupplies,0.672363676
33,toys,0.5763388906666667
34,electronics,0.624475363
34,fashion,0.7395105333000002
34,grocery,0.93393476
34,homeneeds,0.35986264059999995
34,pc,0.5146212186
34,petsupplies,0.351464058
34,toys,0.7449299662999999
35,electronics,0.6516173124000001
35,fashion,0.757032037
35,grocery,0.8541980833999998
35,homeneeds,0.9052919329
35,pc,0.4170310677
35,petsupplies,0.739293364
35,toys,0.8189088791
36,electronics,0.6264181165999999
36,fashion,0.8789530993
36,grocery,0.7101565361000002
36,homeneeds,0.6397750079
36,pc,0.8248836307999999
36,petsupplies,0.50199922125
36,toys,0.9999816420000001
37,electronics,0.7517771959
37,fashion,0.776502877
37,grocery,0.7759475291000001
37,homeneeds,0.8302227915
37,pc,0.9303426545
37,petsupplies,0.9175233549999999
37,toys,0.7955401332
38,electronics,0.3968811752
38,fashion,0.776502877
38,grocery,0.43716177050000005
38,homeneeds,0.7555970518999999
38,pc,0.6006477862
38,petsupplies,0.6491103720000001
38,toys,0.9506075264
39,electronics,0.3968811752
39,fashion,0.9204278052000003
39,grocery,0.8795365869999999
39,homeneeds,0.8462460300000001
39,pc,0.8237113835000001
39,petsupplies,0.572677889
39,toys,0.7627536831999999
40,electronics,0.5647892594999999
40,fashion,0.6553827852
40,grocery,0.968175605
40,homeneeds,0.9274449345
40,pc,0.4170310677
40,petsupplies,0.488834361
40,toys,0.5559129549999999
41,electronics,0.8468096673
41,fashion,0.8654944003
41,grocery,0.9265027344
41,homeneeds,0.21417945600000002
41,pc,0.9367750048
41,petsupplies,0.7913671059999999
41,toys,0.7869304476999999
42,electronics,0.5079308539999999
42,fashion,0.6467620313
42,grocery,0.9109000364999998
42,homeneeds,0.7870465876
42,pc,0.4170310677
42,petsupplies,0.5508246680000001
42,toys,0.7325945943000001
43,electronics,0.7111985741999999
43,fashion,0.6047604798999999
43,grocery,0.7239852790000001
43,homeneeds,0.9508137462999999
43,pc,0.5220799743999999
43,petsupplies,0.162872167
43,toys,0.8703446001999999
44,electronics,0.6513361752
44,fashion,0.7426955879999999
44,grocery,0.4878047466
44,homeneeds,0.8988656044000001
44,pc,0.5502543658000001
44,petsupplies,0.678142974
44,toys,0.8579945804
45,electronics,0.8470445216
45,fashion,0.7615921887
45,grocery,0.7239852790000001
45,homeneeds,0.6347268315
45,pc,0.4465087831000001
45,petsupplies,0.374111718
45,toys,0.9554583252000001
46,electronics,0.5079308539999999
46,fashion,0.8420686276
46,grocery,0.7239852790000001
46,homeneeds,0.8399763882999999
46,pc,0.8576766523
46,petsupplies,0.7069241769999999
46,toys,0.8996564984
47,electronics,0.5083785177000001
47,fashion,0.9074450849
47,grocery,0.7024151803
47,homeneeds,0.7274435709999999
47,pc,0.4465087831000001
47,petsupplies,0.678744215
47,toys,0.8417436003000001
48,electronics,0.7517771959
48,fashion,0.8824943422999999
48,grocery,0.6178634165000001
48,homeneeds,0.7989308923
48,pc,0.8132593124999999
48,petsupplies,0.5915436559999999
48,toys,0.758576340111111
49,electronics,0.7517771959
49,fashion,0.7098448783000001
49,grocery,0.8761699944
49,homeneeds,0.41207070349999997
49,pc,0.5932081310999999
49,petsupplies,0.7369141879999999
49,toys,0.8030356963333333
50,electronics,0.5174716503000001
50,fashion,0.9150149584000001
50,grocery,0.7239852790000001
50,homeneeds,0.9370687782000001
50,pc,0.8576766523
50,petsupplies,0.757301393
50,toys,0.8450906228333332
51,electronics,0.624475363
51,fashion,0.7467680097
51,grocery,0.529351771
51,homeneeds,0.6818090499
51,pc,0.8576766523
51,petsupplies,0.466852057
51,toys,0.7064812282222223
52,electronics,0.7339540779999998
52,fashion,0.5987692804000001
52,grocery,0.7565869927999999
52,homeneeds,0.8484350383000001
52,pc,0.6017583904999999
52,petsupplies,0.9041274883333332
52,toys,0.7427823440000001
53,electronics,0.7684189738
53,fashion,0.776502877
53,grocery,0.9213775635999999
53,homeneeds,0.9002912581
53,pc,0.8429325044
53,petsupplies,0.65831293
53,toys,0.686187604
54,electronics,0.34345991310000007
54,fashion,0.7616157471000001
54,grocery,0.7239852790000001
54,homeneeds,0.7924622268
54,pc,0.7482464523000001
54,petsupplies,0.48712186299999993
54,toys,0.8276343824
55,electronics,0.38246934400000004
55,fashion,0.8746011315000001
55,grocery,0.2306443305
55,homeneeds,0.7052927465
55,pc,0.7973651113
55,petsupplies,0.138912722
55,toys,0.7427823440000001
56,electronics,0.6529823334
56,fashion,0.6061598063000001
56,grocery,0.7239852790000001
56,homeneeds,0.6980684102000001
56,pc,0.8695376616666667
56,petsupplies,0.763172197
56,toys,0.557092002
57,electronics,0.5079308539999999
57,fashion,0.8945157706
57,grocery,0.36534877633333335
57,homeneeds,0.8178095252
57,pc,0.36591376369999995
57,petsupplies,0.549745412
57,toys,0.8576319993
58,electronics,0.43336160780000005
58,fashion,0.7590308248
58,grocery,0.6481222511000001
58,homeneeds,0.7505192429
58,pc,0.6994232662857142
58,petsupplies,0.46479697500000006
58,toys,0.4967323632
59,electronics,0.6937521754999999
59,fashion,0.9505540610000001
59,grocery,0.854918793
59,homeneeds,0.9099917352000002
59,pc,0.45378237080000006
59,petsupplies,0.719934047
59,toys,0.7958959401
