rank,link,Answered_Questions,Price,Discount,customer_review_count,Category
50,/Gingerbread-Decorate-Yourself-Holiday-Activity/dp/B081FHDNQX/,0,17,0,0,grocery
51,/Dirty-Sue-Whiskey-Cocktail-Cherries/dp/B07YLC1FLF/,0,17.95,0,2,grocery
52,/Lakanto-Sugar-Free-Chocolate-Cacao-Almonds/dp/B07Y8XMSXG/,0,9.99,0,12,grocery
53,/Indonesian-Vanilla-Beans-Gourmet-longer/dp/B07Z87Q9NZ/,3,8.97,0,16,grocery
54,/NEUHAUS-Belgian-Chocolate-Classic-Calendar/dp/B07T4WWM12/,0,25,0,0,grocery
55,/Twinings-Seasonal-Collection-Flavors-Cup/dp/B07YGZG5BJ/,0,14.95,0,2,grocery
56,/Glittery-Snowflake-Topper-First-Birthday/dp/B07YYV9B49/,0,7.99,0,0,grocery
57,/Pringles-Limited-Edition-Roasted-Turkey/dp/B07ZGJGB98/,0,6.57,0,4,grocery
58,/Shortbread-Keto-Co-Naturally-Sweetened/dp/B07XYFRR9W/,0,9.99,0,15,grocery
59,/Fannie-May-Chocolate-Assortment-Christmas/dp/B07YCVZMV9/,0,24.99,0,5,grocery
60,/Ferrero-Rocher-Hazelnut-Chocolates-Chocolate/dp/B07W738MG5/,0,17.85,0,16,grocery
61,/Bistro-Chocolate-Selection-Assorted-Truffles/dp/B07XN4YBGH/,3,25.05,0,30,grocery
62,/Pepperidge-Farm-Seasoned-Stuffing-Classic/dp/B07XVB6884/,0,12.49,0,2,grocery
63,/Bang-Energy-Drink-Creatine-Drinks/dp/B07YF3NYQY/,0,20.79,0,32,grocery
64,/HERSHEYS-Chocolate-Holiday-Parties-Decorations/dp/B07T7H7YJM/,57,12.85,0,536,grocery
65,/Gingerbread-House-Christmas-Village-Yourself/dp/B07YBKJ963/,0,0,0,7,grocery
66,/Built-Sample-Energy-Protein-Bars/dp/B081FHLH4B/,0,19.95,0,29,grocery
67,/Built-Pack-Energy-Protein-Bars/dp/B07ZG6YKKF/,0,36,0,30,grocery
68,/Bakers-Corner-Sprinkles-Christmas-Decorating/dp/B07Z321XYT/,0,9.97,0,1,grocery
69,/Quest-Nutrition-Tortilla-Style-Protein/dp/B07RWP9HW5/,102,24.99,0,"3,195",grocery
70,/Welchs-Fruit-Snacks-Berries-Cherries/dp/B07Z5PMBM1/,83,29.88,0,"1,758",grocery
71,/Built-Pack-Energy-Protein-Bars/dp/B07Z45PTGP/,0,36,0,29,grocery
72,/Hershey-Chocolate-Calendar-Countdown-Christmas/dp/B07ZPLML3J/,0,22,8,0,grocery
73,/CrazyOutlet-Pack-Hersheys-Christmas-Chocolate/dp/B07YNV4KT2/,0,17.99,0,1,grocery
74,/MS-Holiday-Chocolate-Christmas-38-ounce/dp/B07WSP4C8X/,0,8.98,0,0,grocery
75,/Wawi-Calendar-Gourmet-Chocolate-Christmas/dp/B07Z2VBR55/,0,17.49,0,0,grocery
76,/Gingerbread-House-Addition-Holiday-Baking/dp/B07YBL6JMJ/,0,27.48,0,6,grocery
77,/Paqui-One-Chip-Challenge-2019/dp/B07XQJT4JF/,0,32.64,0,11,grocery
78,/think-High-Protein-Bars-Artificial/dp/B07Y35ZWG8/,138,20.67,0,"3,332",grocery
79,/Bells-All-Natural-Seasoning-Flossers/dp/B07ZHPMFBR/,0,16.99,0,3,grocery
80,/Sprite-Winter-Spiced-Cranberry-Pack/dp/B07X8RG2H6/,0,18.95,0,5,grocery
81,/Creamer-Fresh-Butter-Coconut-Unsweetened/dp/B07ZPLNZ95/,0,14.99,0,40,grocery
82,/LUV-Mini-Keto-Chocolate-Chips/dp/B07VS2TM82/,4,8.95,0,27,grocery
83,/No-Cow-Chocolate-Doughnut-Friendly/dp/B07Y8T2QVC/,0,27.99,0,7,grocery
84,/SAVERS-Candy-Flavors-50-Ounce-Party/dp/B07W7FMQ9R/,0,8.49,0,1,grocery
85,/Land-Lakes-Cocoa-Variety-34Count/dp/B07YFFG5SW/,0,22.98,0,0,grocery
86,/think-Keto-Protein-Bars-Artificial/dp/B07X4G521H/,0,35,0,29,grocery
87,/Crafty-Cooking-Disney-Holiday-Gingerbread/dp/B07YP7CNW8/,0,17.99,0,3,grocery
88,/MS-Peanut-Chocolate-Christmas-10-Ounce/dp/B07YWXP2NW/,0,3.19,0,0,grocery
89,/Hydration-Electrolyte-Antioxidant-Naturally-Flavored/dp/B07YLD3ZR5/,3,25.95,0,40,grocery
90,/SNICKERS-Christmas-Chocolate-Assortment-49-70-ounce/dp/B07WGQS81Q/,0,26.21,0,0,grocery
91,/Organic-Hearts-Hulled-Preserve-Nutrition/dp/B07YJ11MGQ/,0,No Price,0,0,grocery
92,/HERSHEYS-Chocolate-Amazing-Appreciation-Christmas/dp/B07YSM82Y7/,11,24.99,0,159,grocery
93,/Archie-Mcphee-Clam-Flavored-Stripes-Colorful/dp/B07XWFLV2V/,0,14.95,0,0,grocery
94,/Preservative-Enhancer-Gluten-Free-Excellent-Household/dp/B07Y25JM9S/,0,9.99,0,7,grocery
95,/Gingerbread-Festive-Peppermint-Chocolate-Cookie/dp/B07YCT7G4L/,0,28.38,0,1,grocery
96,/Pure-Protein-Nutritious-Support-Energy/dp/B07Y35ZWF9/,54,14.54,0,"1,324",grocery
97,/Market-Main-Classic-Compatible-Brewers/dp/B07YYMM66V/,6,7.44,0,203,grocery
98,/Brachs-bag-Favorites-Candy-Corn/dp/B07XPG2DG7/,0,4.99,0,5,grocery
99,/Wildflower-Honeycomb-Honey-Natural-Wisconsin/dp/B07Y29X5C1/,0,24.91,0,0,grocery
100,/MS-Holiday-Chocolate-Christmas-3-Ounce/dp/B07WNPDRSK/,0,1.99,0,0,grocery
1,/Fire-HD-10/dp/B07K1RZWMC/,1000,99.99,14,1414,pc
2,/Fire-HD-10/dp/B07KD6YDKC/,1000,1000,33,883,pc
3,/Fire-HD-10/dp/B07KD8R6HD/,108,1000,33,883,pc
4,/Fire-HD-10/dp/B07KD6BTCZ/,569,1000,33,883,pc
5,/Fire-HD-10-Kids-Edition/dp/B07KD7K4B1/,117,279.98,1,1690,pc
6,/Fire-HD-10/dp/B07K2HBB1H/,1000,139.99,26,883,pc
7,/C731-C118-Cel-11-6-32GB-Chrm/dp/B07LDRV83G/,39,149.99,25,10,pc
8,/Lenovo-Chromebook-MediaTek-Processor-81QB000AUS/dp/B07Z1KJ2D8/,21,227,0,10,pc
9,/Fire-HD-10/dp/B07PC8223G/,1000,149.99,2,1960,pc
10,/Fire-HD-10/dp/B07KD7FB5L/,200,139.99,26,883,pc
11,/Fire-HD-10-Kids-Edition/dp/B07KD87XW7/,117,149.99,25,68,pc
12,/Fire-HD-10-Kids-Edition/dp/B07KD718K4/,127,161,12,67,pc
13,/Fire-HD-10/dp/B07KD7CW5T/,750,139.99,26,883,pc
14,/Fire-HD-10/dp/B07P5VPJTT/,89,154.99,24,883,pc
15,/Special-Amazon-Standing-Charcoal-Charger/dp/B081N8XKBF/,1411,149.99,29,883,pc
16,/Twilight-Special-Amazon-Standing-Charger/dp/B081N91PL4/,1000,149.99,29,883,pc
17,/Fire-Tablet-2-Pack-Display-Kid-Proof/dp/B07Y117SL9/,1187,279.98,45,1210,pc
18,/LG-27GL83A-B-Ultragear-Compatible-Monitor/dp/B07YGZL8XF/,74,0,0,47,pc
19,/RUNMUS-Surround-Headphones-Canceling-Compatible/dp/B07XR6SKB6/,21,29.9,0,77,pc
20,/Fire-HD-10/dp/B07KD58DQS/,1000,139.99,26,883,pc
21,/Tablet-Special-Amazon-Standing-Charger/dp/B081N86FZC/,1000,149.99,29,883,pc
22,/CYBERPOWERPC-Xtreme-i5-9400F-GeForce-GXiVR8060A8/dp/B07VGJDKZ4/,456,599.99,20,494,pc
23,/Anki-Vector-Space/dp/B081KR21TT/,653,97.48,0,968,pc
24,/AUKEY-Ethernet-Delivery-Charging-Chromebook/dp/B07Z7H3GJK/,56,32.99,0,172,pc
25,/Fire-Tablet-2-Pack-Display-Kid-Proof/dp/B07XZZ2MVS/,117,279.98,0,68,pc
