rank,category,product_link,name,avg_rating,review link,rating_count,prime,Images
25,toys,/Disney-Frozen-Frz-Character-Anna/dp/B07MM2R5DP/,            Disney Frozen Anna Fashion Doll with Long Red Hair & Outfit Inspired by Frozen 2 - Toy for Kids 3 Years Old & Up        ,4.0 out of 5 stars,/product-reviews/B07MM2R5DP/,7,prime,3
26,toys,/Really-R-D-Robots-Turbo/dp/B07NSTW6FT/,            Really RAD Robots - Electronic Remote Control Robot with Voice Command - Built for Speed and Tricks - Turbo Bot        ,4.4 out of 5 stars,/product-reviews/B07NSTW6FT/,36,prime,6
27,toys,/L-O-L-Surprise-Chalet-Winter-Disco/dp/B07PPR6P5D/,            L.O.L. Surprise! Winter Disco Chalet Doll House with 95+ Surprises & Exclusive Family        ,4.1 out of 5 stars,/product-reviews/B07PPR6P5D/,21,prime,6
28,toys,/NERF-Motorized-Blaster-Farthest-Compatible/dp/B07RRYQPPQ/,            NERF Ultra One Motorized Blaster -- 25 Ultra Darts -- Farthest Flying Darts Ever -- Compatible Only Ultra One Darts        ,3.6 out of 5 stars,/product-reviews/B07RRYQPPQ/,49,prime,6
29,toys,/Hatchimals-Llalacorn-Interactive-Re-Hatchable-Styles/dp/B07NFRYSZQ/,"            Hatchimals Wow Llalacorn 32"" Tall Interactive with Re-Hatchable Egg (Styles May Vary)        ",4.4 out of 5 stars,/product-reviews/B07NFRYSZQ/,25,prime,6
30,toys,/Monopoly-LONGEST-Game-Amazon-Exclusive/dp/B07W2Z9N7Q/,            Monopoly LONGEST Game Ever (Amazon Exclusive)        ,not found,not found,not found,prime,5
31,toys,/Owleez-Flying-Interactive-Lights-Sounds/dp/B07PBCJKZ3/,"            Owleez, Flying Baby Owl Interactive Toy with Lights & Sounds (Pink), for Kids Aged 6 & Up        ",3.5 out of 5 stars,/product-reviews/B07PBCJKZ3/,72,prime,6
32,toys,/Cutetitos-Mystery-Stuffed-Animals-Collectible/dp/B07QL67MB3/,            Cutetitos - Mystery Stuffed Animals - Collectible Plush - Series 3        ,4.8 out of 5 stars,/product-reviews/B07QL67MB3/,484,prime,7
33,toys,/Disney-Frozen-Frz-Sd-Multipack/dp/B07MSVW3MC/,"            Disney Frozen Adventure Collection, 5 Small Dolls from Frozen 2, Anna, Elsa, Kristoff, Sven, Olaf, & Gale Accessory        ",4.2 out of 5 stars,/product-reviews/B07MSVW3MC/,14,prime,7
34,toys,/Little-Live-Pets-Scruff-Luvs/dp/B07NSS34SL/,            Little Live Scruff-a-Luvs Plush Mystery Electronic Rescue Pet - Real Rescue        ,3.9 out of 5 stars,/product-reviews/B07NSS34SL/,27,prime,6
35,toys,/Hasbro-Gaming-E8229-Battleship-Shots/dp/B07MTGXPTM/,            Hasbro Gaming Battleship Shots        ,4.5 out of 5 stars,/product-reviews/B07MTGXPTM/,18,prime,5
36,toys,/Disney-Frozen-Storytelling-Fashion-Doll/dp/B07MJHCV92/,            Disney Frozen Elsa Fashion Doll in Travel Outfit Inspired by Frozen 2 with Pabbie & Salamander Figures        ,5.0 out of 5 stars,/product-reviews/B07MJHCV92/,1,prime,2
